ProductDates,Length,IntangibleDryWell,IntangibleCompletion,TangibleDryWell,TangibleCompletion,TotalIntangible,TotalTangible,TotalCost
5-May-2015,5300.00,2320543.00,3250800.00,435059.00,386800.00,5571343.00,821859.00,6393202.00
15-May-2015,10323.00,3592000.00,4772400.00,406000.00,755000.00,8364400.00,1161000.00,9525400.00
19-May-2015,5000.00,3412073.00,6465724.00,469918.00,434600.00,9877797.00,904518.00,10782315.00
24-May-2015,9883.00,5439000.00,5404500.00,495000.00,1015800.00,10843500.00,1510800.00,12354300.00
26-May-2015,4800.00,3481290.00,3973914.00,686949.00,159500.00,7455204.00,846449.00,8301653.00
26-May-2015,10000.00,4032300.00,6640500.00,667700.00,202000.00,10672800.00,869700.00,11542500.00
1-Jun-2015,5000.00,2462999.00,5311000.00,627000.00,300000.00,7773999.00,927000.00,8700999.00
2-Jun-2015,8700.00,2810848.00,3343638.00,463905.00,458600.00,6154486.00,922505.00,7076991.00
16-Jun-2015,7200.00,2586009.00,5137200.00,586512.00,192500.00,7723209.00,779012.00,8502221.00
16-Jun-2015,5200.00,2218735.00,3230800.00,400177.00,387900.00,5449535.00,788077.00,6237612.00
16-Jun-2015,9823.00,3737000.00,5664000.00,413000.00,797000.00,9401000.00,1210000.00,10611000.00
19-Jun-2015,9823.00,3635000.00,5150800.00,405000.00,797000.00,8785800.00,1202000.00,9987800.00
26-Jun-2015,5300.00,2191287.00,3250800.00,406004.00,387364.00,5442087.00,793368.00,6235455.00
29-Jun-2015,10000.00,2778610.00,4319000.00,1021390.00,297500.00,7097610.00,1318890.00,8416500.00
29-Jun-2015,9883.00,5439000.00,5404500.00,495000.00,1015800.00,10843500.00,1510800.00,12354300.00
29-Jun-2015,9883.00,5439000.00,5404500.00,495000.00,1015800.00,10843500.00,1510800.00,12354300.00
29-Jun-2015,9883.00,5439000.00,5404500.00,495000.00,1015800.00,10843500.00,1510800.00,12354300.00
6-Jul-2015,5000.00,2245350.00,2467700.00,364525.00,364300.00,4713050.00,728825.00,5441875.00
10-Jul-2015,10000.00,2504683.00,5368548.00,614054.00,323000.00,7873231.00,937054.00,8810285.00
20-Jul-2015,4553.00,3097000.00,2934400.00,434000.00,754000.00,6031400.00,1188000.00,7219400.00
27-Jul-2015,7500.00,2168450.00,2542800.00,290525.00,414900.00,4711250.00,705425.00,5416675.00
28-Jul-2015,6000.00,2320643.00,3250830.00,435039.00,386900.00,5571473.00,821939.00,6393412.00
1-Aug-2015,9833.00,3635000.00,5207800.00,404000.00,833000.00,8842800.00,1237000.00,10079800.00
6-Aug-2015,5200.00,3280310.00,4641353.00,799853.00,409011.00,7921663.00,1208864.00,9130527.00
6-Aug-2015,10000.00,2504683.00,5367865.00,614054.00,323000.00,7872548.00,937054.00,8809602.00
7-Aug-2015,4400.00,2413796.00,2494000.00,802967.00,285000.00,4907796.00,1087967.00,5995763.00
11-Aug-2015,8000.00,2423143.00,4869500.00,605600.00,297500.00,7292643.00,903100.00,8195743.00
14-Aug-2015,6000.00,2649000.00,4805000.00,601000.00,300000.00,7454000.00,901000.00,8355000.00
14-Aug-2015,4543.00,2699000.00,3498800.00,406000.00,633000.00,6197800.00,1039000.00,7236800.00
14-Aug-2015,6000.00,2849000.00,4811000.00,601000.00,300000.00,7660000.00,901000.00,8561000.00
14-Aug-2015,10323.00,3592000.00,6783600.00,406000.00,780000.00,10375600.00,1186000.00,11561600.00
17-Aug-2015,5000.00,1951450.00,2061800.00,290525.00,414900.00,4013250.00,705425.00,4718675.00
17-Aug-2015,5000.00,2218735.00,3230800.00,400177.00,97464.00,5449535.00,497641.00,5947176.00
17-Aug-2015,4800.00,1951450.00,2061800.00,290525.00,414900.00,4013250.00,705425.00,4718675.00
18-Aug-2015,5300.00,2426000.00,3908200.00,614000.00,222500.00,6334200.00,836500.00,7170700.00
19-Aug-2015,9833.00,3635000.00,5207800.00,404000.00,833000.00,8842800.00,1237000.00,10079800.00
24-Aug-2015,9700.00,3144000.00,5690000.00,442000.00,966500.00,8834000.00,1408500.00,10242500.00
24-Aug-2015,9700.00,3144000.00,5690000.00,442000.00,966500.00,8834000.00,1408500.00,10242500.00
31-Aug-2015,8400.00,2870000.00,4847000.00,650000.00,223000.00,7717000.00,873000.00,8590000.00
1-Sep-2015,8500.00,2429356.00,4870000.00,610644.00,297500.00,7299356.00,908144.00,8207500.00
3-Sep-2015,5000.00,1894315.00,2944610.00,199966.00,679196.00,4838925.00,879162.00,5718087.00
14-Sep-2015,4700.00,2799000.00,4847200.00,601000.00,222500.00,7646200.00,823500.00,8469700.00
15-Sep-2015,8200.00,2849000.00,4806000.00,601000.00,300000.00,7655000.00,901000.00,8556000.00
15-Sep-2015,6200.00,2549000.00,4811000.00,601000.00,300000.00,7360000.00,901000.00,8261000.00
15-Sep-2015,8000.00,3280310.00,4541353.00,799853.00,409011.00,7821663.00,1208864.00,9030527.00
15-Sep-2015,7200.00,2721560.00,2967221.00,704180.00,386900.00,5688781.00,1091080.00,6779861.00
22-Sep-2015,5900.00,2549000.00,4811000.00,601000.00,300000.00,7360000.00,901000.00,8261000.00
22-Sep-2015,7800.00,2329589.00,2784374.00,410580.00,394900.00,5113963.00,805480.00,5919443.00
22-Sep-2015,7900.00,2799000.00,4834000.00,601000.00,222500.00,7633000.00,823500.00,8456500.00
24-Sep-2015,5700.00,2843875.00,5111000.00,726125.00,300000.00,7954875.00,1026125.00,8981000.00
29-Sep-2015,7300.00,3758433.00,7164623.00,536193.00,568071.00,10923056.00,1104264.00,12027320.00
29-Sep-2015,9833.00,3715000.00,6225250.00,420000.00,735000.00,9940250.00,1155000.00,11095250.00
29-Sep-2015,7243.00,3375000.00,4941188.00,405000.00,752000.00,8316188.00,1157000.00,9473188.00
29-Sep-2015,7600.00,2276219.00,2905580.00,398574.00,382900.00,5181799.00,781474.00,5963273.00
30-Sep-2015,6800.00,2844400.00,5311000.00,776600.00,300000.00,8155400.00,1076600.00,9232000.00
6-Oct-2015,5000.00,2128450.00,2183800.00,290525.00,414900.00,4312250.00,705425.00,5017675.00
6-Oct-2015,7900.00,2969719.00,4562698.00,517737.00,401000.00,7532417.00,918737.00,8451154.00
12-Oct-2015,5000.00,1951450.00,2061800.00,290525.00,414900.00,4013250.00,705425.00,4718675.00
13-Oct-2015,7800.00,2334149.00,2886874.00,416238.00,385900.00,5221023.00,802138.00,6023161.00
13-Oct-2015,7800.00,2330682.00,2886874.00,411937.00,385900.00,5217556.00,797837.00,6015393.00
13-Oct-2015,4603.00,2859000.00,3380750.00,419000.00,662000.00,6239750.00,1081000.00,7320750.00
13-Oct-2015,6400.00,2814904.00,3845800.00,666488.00,796550.00,6660704.00,1463038.00,8123742.00
14-Oct-2015,6200.00,2844400.00,5311000.00,776600.00,300000.00,8155400.00,1076600.00,9232000.00
20-Oct-2015,9823.00,3635000.00,5151000.00,408000.00,795000.00,8786000.00,1203000.00,9989000.00
20-Oct-2015,15113.00,4827000.00,4941188.00,405000.00,962000.00,9768188.00,1367000.00,11135188.00
20-Oct-2015,6300.00,2799000.00,4847200.00,601000.00,222500.00,7646200.00,823500.00,8469700.00
24-Oct-2015,9600.00,3963000.00,4758000.00,443000.00,962700.00,8721000.00,1405700.00,10126700.00
24-Oct-2015,9600.00,3963000.00,4758000.00,443000.00,962700.00,8721000.00,1405700.00,10126700.00
27-Oct-2015,5200.00,2778610.00,4313000.00,1021390.00,297500.00,7091610.00,1318890.00,8410500.00
2-Nov-2015,10000.00,3893304.00,6360000.00,656696.00,202000.00,10253304.00,858696.00,11112000.00
3-Nov-2015,9823.00,3635000.00,5150800.00,408000.00,795000.00,8785800.00,1203000.00,9988800.00
9-Nov-2015,4380.00,2784000.00,2728200.00,474000.00,860600.00,5512200.00,1334600.00,6846800.00
16-Nov-2015,6900.00,2415000.00,3408000.00,369000.00,323000.00,5823000.00,692000.00,6515000.00
